"has-text-align-left","tablescraper-selected-row","tablescraper-selected-row 2"
"Banco A.J. RENNER","654","92874270"
"Banco ABC Brasil","246","28195667"
"Banco ABN AMRO","75","3532415"
"Banco ALFA","25","3323840"
"Banco ARBI","213","54403563"
"Banco AZTECA do Brasil","19","9391857"
"Banco BARCLAYS","740","61146577"
"Banco BBM","107","15114366"
"Banco BMFBOVESPA","96","997185"
"Banco BMG","318","61186680"
"Banco BNP PARIBAS Brasil","752","1522368"
"Banco BOA VISTA INTERATLANTICO","248","33485541"
"Banco BONSUCESSO","218","71027866"
"Banco BRACCE","65","48795256"
"Banco BRADESCARD","63","4184779"
"Banco BRADESCO","237","60746948"
"Banco BRADESCO BBI","36","60746948"
"Banco BRADESCO CARTÕES","204","59438325"
"Banco BRADESCO FINANCIAMENTOS","394","7207996"
"Banco BTG PACTUAL","208","30306294"
"Banco CACIQUE","263","33349358"
"Banco CAIXA GERAL – Brasil","473","33466988"
"Banco CAPITAL","412","15173776"
"Banco CARGILL","40","3609817"
"Banco CEDULA","266","33132044"
"Banco CETELEM","739","558456"
"Banco CIFRA","233","62421979"
"Banco CITIBANK","745","33479023"
"Banco CLÁSSICO","241","31597552"
"Banco COOPERATIVO do Brasil – Bancoob","756","2038232"
"Banco COOPERATIVO SICREDI","748","1181521"
"Banco CREDIT AGRICOLE Brasil","222","75647891"
"Banco CREDIT SUISSE (Brasil)","505","32062580"
"Banco da AMAZONIA","3","4902979"
"Banco da CHINA Brasil","83","10690848"
"Banco DAYCOVAL","707","62232889"
"Banco de LA NACION ARGENTINA","300","33042151"
"Banco de LA PROVINCIA de BUENOS AIRES","495","44189447"
"Banco de LA REPUBLICA ORIENTAL DEL URUGUAY","494","51938876"
"Banco de TOKYO MITSUBISHI UFJ Brasil","456","60498557"
"Banco DIBENS","214","61199881"
"Banco do BRASIL","1","0"
"Banco do ESTADO de SERGIPE","47","13009717"
"Banco do ESTADO do PARA","37","4913711"
"Banco do ESTADO do RIO GRANDE do SUL (BANRISUL)","41","92702067"
"Banco do NORDESTE do Brasil","4","7237373"
"Banco FATOR","265","33644196"
"Banco FIBRA","224","58616418"
"Banco FICSA","626","61348538"
"Banco GERADOR","121","10664513"
"Banco GUANABARA","612","31880826"
"Banco INDUSTRIAL do Brasil","604","31895683"
"Banco INDUSTRIAL e COMERCIAL","320","7450604"
"Banco INDUSVAL","653","61024352"
"Banco INTERCAP","630","58497702"
"Banco INTERMEDIUM","77","416968"
"Banco INVESTCRED UNIBANCO","249","61182408"
"Banco ITAU BBA","184","17298092"
"Banco ITAÚ HOLDING FINANCEIRA","652","60872504"
"Banco J. SAFRA","74","3017677"
"Banco J.P. MORGAN","376","33172537"
"Banco JOHN DEERE","217","91884981"
"Banco KDB do Brasil","76","7656500"
"Banco KEB do Brasil","757","2318507"
"Banco LUSO BRASILEIRO","600","59118133"
"Banco MÁXIMA","243","33923798"
"Banco MERCANTIL do BRASIL","389","17184037"
"Banco MIZUHO do Brasil","370","61088183"
"Banco MODAL","746","30723886"
